Sample	Genus	Gene	Contribution
BB198	p__Proteobacteria;c__Alphaproteobacteria;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	200.3185521462824
BB200	p__Proteobacteria;c__Alphaproteobacteria;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	585.1722853628833
BB203	p__Proteobacteria;c__Alphaproteobacteria;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	574.5564900263975
BB204	p__Proteobacteria;c__Alphaproteobacteria;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	449.39837404117714
BB207	p__Proteobacteria;c__Alphaproteobacteria;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	302.42035052637834
BB208	p__Proteobacteria;c__Alphaproteobacteria;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	197.50317457415755
BB209	p__Proteobacteria;c__Alphaproteobacteria;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	347.49723249771824
BB190	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.4.21.92: Endopeptidase Clp	567.7246612164116
BB191	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.4.21.92: Endopeptidase Clp	903.6296097642067
BB192	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.4.21.92: Endopeptidase Clp	503.3711665261235
BB195	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.4.21.92: Endopeptidase Clp	267.7574457418327
BB197	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.4.21.92: Endopeptidase Clp	274.27291939576884
BB198	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.4.21.92: Endopeptidase Clp	89.12424351392016
BB200	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.4.21.92: Endopeptidase Clp	508.6426505668599
BB203	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.4.21.92: Endopeptidase Clp	474.8143495699232
BB204	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.4.21.92: Endopeptidase Clp	580.7772289767519
BB207	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.4.21.92: Endopeptidase Clp	230.34564266037367
BB208	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.4.21.92: Endopeptidase Clp	136.68648536982855
BB209	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:3.4.21.92: Endopeptidase Clp	176.73800991809568
BB190	p__Actinobacteria;c__Actinomycetia;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	332.11407354001943
BB191	p__Actinobacteria;c__Actinomycetia;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	160.70671936388496
BB192	p__Actinobacteria;c__Actinomycetia;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	447.32544283250513
BB195	p__Actinobacteria;c__Actinomycetia;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	630.0708408007534
BB197	p__Actinobacteria;c__Actinomycetia;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	416.9410624423753
BB198	p__Actinobacteria;c__Actinomycetia;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	231.25345705111195
BB200	p__Actinobacteria;c__Actinomycetia;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	266.29262293445504
BB203	p__Actinobacteria;c__Actinomycetia;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	367.773147150561
BB204	p__Actinobacteria;c__Actinomycetia;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	637.7212888007092
BB207	p__Actinobacteria;c__Actinomycetia;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	182.62076329691445
BB208	p__Actinobacteria;c__Actinomycetia;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	576.1673531153187
BB209	p__Actinobacteria;c__Actinomycetia;o__NA;f__NA;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	258.6549764100111
BB190	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:1.11.1.21: Catalase peroxidase	283.91097609240524
BB191	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:1.11.1.21: Catalase peroxidase	652.6377683240604
BB192	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:1.11.1.21: Catalase peroxidase	457.9313032458006
BB195	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:1.11.1.21: Catalase peroxidase	250.60958931588544
BB197	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:1.11.1.21: Catalase peroxidase	317.2627776415125
BB198	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:1.11.1.21: Catalase peroxidase	133.3069273267155
BB200	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:1.11.1.21: Catalase peroxidase	423.9241621117946
BB203	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:1.11.1.21: Catalase peroxidase	387.9159857378719
BB204	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:1.11.1.21: Catalase peroxidase	545.9591931395342
BB207	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:1.11.1.21: Catalase peroxidase	266.5278937079787
BB208	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:1.11.1.21: Catalase peroxidase	202.8531031872176
BB209	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:1.11.1.21: Catalase peroxidase	454.42768844734167
BB190	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.1.2.1: Glycine hydroxymethyltransferase	396.7358754316149
BB191	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.1.2.1: Glycine hydroxymethyltransferase	681.2762792229291
BB192	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.1.2.1: Glycine hydroxymethyltransferase	595.9438132340254
BB195	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.1.2.1: Glycine hydroxymethyltransferase	201.6595864312799
BB197	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.1.2.1: Glycine hydroxymethyltransferase	254.47079020001925
BB198	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.1.2.1: Glycine hydroxymethyltransferase	77.28657970029181
BB200	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.1.2.1: Glycine hydroxymethyltransferase	606.8420963646684
BB203	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.1.2.1: Glycine hydroxymethyltransferase	405.7235079007016
BB204	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.1.2.1: Glycine hydroxymethyltransferase	452.3017276326616
BB207	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.1.2.1: Glycine hydroxymethyltransferase	175.47025091882665
BB208	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.1.2.1: Glycine hydroxymethyltransferase	183.95822591481524
BB209	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:2.1.2.1: Glycine hydroxymethyltransferase	310.20956807276275
BB190	p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	205.50095605032263
BB191	p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	510.21917427921386
BB192	p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	496.5155042258319
BB195	p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	241.56614620193653
BB197	p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	256.19311612222924
BB198	p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	100.98588048724918
BB200	p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	361.762670015408
BB203	p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	297.1091474356183
BB204	p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	699.4803137815401
BB207	p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	359.7759794949882
BB208	p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	255.56450268310635
BB209	p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales;f__Acidobacteriaceae;g__NA;s__NA	EC:2.7.7.6: DNA-directed RNA polymerase	513.801364328148
BB190	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:6.3.4.2: CTP synthase (glutamine hydrolyzing)	445.2875998506277
BB191	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:6.3.4.2: CTP synthase (glutamine hydrolyzing)	525.3425878638284
BB192	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:6.3.4.2: CTP synthase (glutamine hydrolyzing)	638.9170871116611
BB195	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:6.3.4.2: CTP synthase (glutamine hydrolyzing)	199.9657895458793
BB197	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:6.3.4.2: CTP synthase (glutamine hydrolyzing)	244.16690615827844
BB198	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:6.3.4.2: CTP synthase (glutamine hydrolyzing)	108.11826110439443
BB200	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:6.3.4.2: CTP synthase (glutamine hydrolyzing)	491.776442943947
BB203	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:6.3.4.2: CTP synthase (glutamine hydrolyzing)	399.0078865553062
BB204	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:6.3.4.2: CTP synthase (glutamine hydrolyzing)	327.5216068573982
BB207	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:6.3.4.2: CTP synthase (glutamine hydrolyzing)	173.95013998411272
BB208	p__NA;c__NA;o__NA;f__NA;g__NA;s__NA	EC:6.3.4.2: CTP synthase (glutamine hydrolyzing)	132.705010443991
